genome_id	phylum	class	order	completeness
SB_biofilm_MAG_32	Proteobacteria	Alphaproteobacteria	Kiloniellales	95.87
SB_biofilm_MAG_33	Planctomycetota	Planctomycetes	Pirellulales	95.64
SB_biofilm_MAG_34	Cyanobacteriota	Cyanobacteriia	Pseudophormidiales	95.24
SB_biofilm_MAG_35	Proteobacteria	Alphaproteobacteria	Micavibrionales	94.79
SB_biofilm_MAG_36	Verrucomicrobiota	Chlamydiia	Parachlamydiales	94.76
SB_biofilm_MAG_37	Planctomycetota	Planctomycetes	Planctomycetales	94.44
SB_biofilm_MAG_38	Planctomycetota	Planctomycetes	Pirellulales	94.19
SB_biofilm_MAG_39	Bacteroidota	Bacteroidia	Flavobacteriales	94.09
SB_biofilm_MAG_4	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_40	Proteobacteria	Alphaproteobacteria	Rhizobiales	93.7
SB_biofilm_MAG_41	Proteobacteria	Gammaproteobacteria	Nevskiales	93.05
SB_biofilm_MAG_42	Bacteroidota	Bacteroidia	Flavobacteriales	92.94
SB_biofilm_MAG_43	Myxococcota	UBA796	UBA796	92.86
SB_biofilm_MAG_44	Proteobacteria	Gammaproteobacteria	Pseudomonadales	92.75
SB_biofilm_MAG_45	Bacteroidota	Bacteroidia	Cytophagales	92.69
SB_biofilm_MAG_46	Bacteroidota	Bacteroidia	Chitinophagales	92.17
SB_biofilm_MAG_47	Proteobacteria	Alphaproteobacteria	Rhodobacterales	91.98
SB_biofilm_MAG_48	Myxococcota	UBA796	UBA796	91.77
SB_biofilm_MAG_49	Planctomycetota	Phycisphaerae	Phycisphaerales	91.46
SB_biofilm_MAG_5	Bacteroidota	Bacteroidia	Cytophagales	99.7
SB_biofilm_MAG_50	Proteobacteria	Alphaproteobacteria	Sphingomonadales	91.27
SB_biofilm_MAG_51	Proteobacteria	Alphaproteobacteria	Micavibrionales	91.25
SB_biofilm_MAG_52	Verrucomicrobiota	Verrucomicrobiae	Opitutales	90.39
SB_biofilm_MAG_53	Planctomycetota	UBA1135	UBA1135	90.32
SB_biofilm_MAG_54	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	90.24
SB_biofilm_MAG_55	Bacteroidota	Bacteroidia	Chitinophagales	90.02
SB_biofilm_MAG_56	Bacteroidota	Bacteroidia	Cytophagales	89.68
SB_biofilm_MAG_57	Proteobacteria	Alphaproteobacteria	Parvibaculales	89.07
SB_biofilm_MAG_58	Proteobacteria	Alphaproteobacteria	Rhodobacterales	88.38
SB_biofilm_MAG_59	Myxococcota	UBA796	UBA796	87.99
SB_biofilm_MAG_6	Bacteroidota	Bacteroidia	Cytophagales	99.55
SB_biofilm_MAG_60	Planctomycetota	Planctomycetes	Pirellulales	87.96
SB_biofilm_MAG_61	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	87.75
SB_biofilm_MAG_62	Bacteroidota	Bacteroidia	Chitinophagales	87.54
SB_biofilm_MAG_63	Proteobacteria	Alphaproteobacteria		82.92
SB_biofilm_MAG_64	Proteobacteria	Alphaproteobacteria	Rhodobacterales	82.86
SB_biofilm_MAG_65	Proteobacteria	Gammaproteobacteria	Pseudomonadales	81.03
SB_biofilm_MAG_66	Planctomycetota	Phycisphaerae	Phycisphaerales	80.61
SB_biofilm_MAG_67	Proteobacteria	Alphaproteobacteria	Kiloniellales	79.96
SB_biofilm_MAG_68	Proteobacteria	Gammaproteobacteria	Pseudomonadales	77.93
SB_biofilm_MAG_69	Bacteroidota	Bacteroidia	Cytophagales	77.56
SB_biofilm_MAG_7	Planctomycetota	Phycisphaerae	Phycisphaerales	98.86
SB_biofilm_MAG_70	Proteobacteria	Alphaproteobacteria		75.64
SB_biofilm_MAG_71	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	72.03
SB_biofilm_MAG_72	Proteobacteria	Gammaproteobacteria	Pseudomonadales	71.9
SB_biofilm_MAG_73	Chloroflexota	Anaerolineae	SBR1031	71.84
SB_biofilm_MAG_74	Proteobacteria	Alphaproteobacteria	Rhodobacterales	67.74
SB_biofilm_MAG_75	Proteobacteria	Alphaproteobacteria	Caulobacterales	67.05
SB_biofilm_MAG_76	Planctomycetota	Phycisphaerae	Phycisphaerales	65.55
SB_biofilm_MAG_77	Proteobacteria	Alphaproteobacteria	Rhizobiales	65.33
SB_biofilm_MAG_79	Proteobacteria	Alphaproteobacteria	Micavibrionales	64.15
SB_biofilm_MAG_8	Verrucomicrobiota	Verrucomicrobiae		98.65
SB_biofilm_MAG_80	Proteobacteria	Alphaproteobacteria	Micavibrionales	56.55
SB_biofilm_MAG_81	Bacteroidota	Bacteroidia	Cytophagales	53.92
SB_biofilm_MAG_82	Planctomycetota	Phycisphaerae	Phycisphaerales	51.75
SB_biofilm_MAG_83	Bacteroidota	Bacteroidia	Cytophagales	51.13
SB_biofilm_MAG_84	Bacteroidota			50.26
SB_biofilm_MAG_9	Verrucomicrobiota	Verrucomicrobiae	Opitutales	98.65
