genome_id	phylum	class	order	completeness
SB_biofilm_MAG_*-MAP.txt66	Planctomycetota	Phycisphaerae	Phycisphaerales	80.61
SB_biofilm_MAG_*-MAP.txt67	Proteobacteria	Alphaproteobacteria	Kiloniellales	79.96
SB_biofilm_MAG_*-MAP.txt68	Proteobacteria	Gammaproteobacteria	Pseudomonadales	77.93
SB_biofilm_MAG_*-MAP.txt69	Bacteroidota	Bacteroidia	Cytophagales	77.56
SB_biofilm_MAG_*-MAP.txt7	Planctomycetota	Phycisphaerae	Phycisphaerales	98.86
SB_biofilm_MAG_*-MAP.txt70	Proteobacteria	Alphaproteobacteria		75.64
SB_biofilm_MAG_*-MAP.txt71	Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	72.03
SB_biofilm_MAG_*-MAP.txt72	Proteobacteria	Gammaproteobacteria	Pseudomonadales	71.9
SB_biofilm_MAG_*-MAP.txt73	Chloroflexota	Anaerolineae	SBR1031	71.84
SB_biofilm_MAG_*-MAP.txt74	Proteobacteria	Alphaproteobacteria	Rhodobacterales	67.74
SB_biofilm_MAG_*-MAP.txt75	Proteobacteria	Alphaproteobacteria	Caulobacterales	67.05
SB_biofilm_MAG_*-MAP.txt76	Planctomycetota	Phycisphaerae	Phycisphaerales	65.55
SB_biofilm_MAG_*-MAP.txt77	Proteobacteria	Alphaproteobacteria	Rhizobiales	65.33
SB_biofilm_MAG_*-MAP.txt79	Proteobacteria	Alphaproteobacteria	Micavibrionales	64.15
SB_biofilm_MAG_*-MAP.txt8	Verrucomicrobiota	Verrucomicrobiae		98.65
SB_biofilm_MAG_*-MAP.txt80	Proteobacteria	Alphaproteobacteria	Micavibrionales	56.55
SB_biofilm_MAG_*-MAP.txt81	Bacteroidota	Bacteroidia	Cytophagales	53.92
SB_biofilm_MAG_*-MAP.txt82	Planctomycetota	Phycisphaerae	Phycisphaerales	51.75
SB_biofilm_MAG_*-MAP.txt83	Bacteroidota	Bacteroidia	Cytophagales	51.13
SB_biofilm_MAG_*-MAP.txt84	Bacteroidota			50.26
SB_biofilm_MAG_*-MAP.txt9	Verrucomicrobiota	Verrucomicrobiae	Opitutales	98.65
